title,url,emoji,source,jupyter,colab,type,date,views,main,additional,rating,comment
Пишем простой граббер для Telegram чатов на Python,https://proglib.io/p/pishem-prostoy-grabber-dlya-telegram-chatov-na-python-2019-11-06,,,,,статья,2019-11-06,22286.0,Telegram,,2.0,
Читаемый код: 10 практик успешного написания,https://proglib.io/p/clean-code,🏗️,,,,перевод,2019-07-10,37306.0,Проектирование,,2.0,
Дайджест: 300 ссылок на обучающие ресурсы по программированию,https://proglib.io/p/300-programming-urls,🔗,,,,подборка,2018-11-25,23156.0,"Видео, курсы, ссылки",,2.0,
"Карьерный рост: в чем разница между Junior, Middle и Senior?",https://proglib.io/p/junior-middle-senior,,,,,перевод,2018-09-23,58422.0,Карьера,,2.0,
"12 простых советов тем, кто самостоятельно учит математику",https://proglib.io/p/learn-math,👨‍🎓️🌟,,,,статья,2018-09-15,59748.0,Математика,,5.0,
"9 гифок, наглядно иллюстрирующих дифференцируемость функции",https://proglib.io/p/diff,,,,,статья,2018-09-09,25579.0,Математика,,3.0,
Детальный план самообразования в Computer Science за полтора года,https://proglib.io/p/cs-learning,👨‍🎓️🌟,,,,подборка,2018-05-03,178041.0,"Видео, курсы, ссылки",,5.0,
От новичка до профи в блокчейн-технологиях за 2 месяца,https://proglib.io/p/blockchain-plan,,,,,перевод,2018-04-08,21384.0,Блокчейн,,3.0,
Более 200 избранных ссылок на материалы о языке Go,https://proglib.io/p/golinks,🔗,https://github.com/enocom/gopher-reading-list,,,подборка,2018-03-17,23250.0,Go,,4.0,
Как получить опыт и зарабатывать на Open Source проектах,https://proglib.io/p/open-source,🤔,,,,перевод,2018-03-16,34096.0,Open source,,4.0,
Иллюстративный видеокурс математического анализа: 10 уроков,https://proglib.io/p/calculus,▶️,,,,подборка,2018-02-25,50523.0,Математика,,4.0,
Иллюстративный видеокурс по линейной алгебре: 11 уроков,https://proglib.io/p/algebra,▶️,,,,подборка,2018-02-09,50397.0,Математика,,4.0,
Как правильно искать и читать научные статьи?,https://proglib.io/p/research-papers,,https://www.youtube.com/watch?v=SHTOI0KtZnU,,,статья,2018-02-01,15005.0,Наука,,4.0,
Создаем первый смарт-контракт на Ethereum менее чем за 60 минут,https://proglib.io/p/smart-contract,,https://medium.com/crypto-currently/build-your-first-smart-contract-fc36a8ff50ca,,,перевод,2018-01-29,35587.0,Блокчейн,,3.0,
Импульсные нейронные сети: мозг в компьютере,https://proglib.io/p/spiking-neural-networks,,https://towardsdatascience.com/spiking-neural-networks-the-next-generation-of-machine-learning-84e167f4eb2b,,,перевод,2018-01-22,15261.0,Data Science,,2.0,
Как помочь ребенку выучить таблицу умножения,https://habr.com/ru/post/126043,🧒,,,,статья,2011-08-11,1100.0,Математика,,5.0,
Введение в объектно-ориентированное программирование (ООП) на Python,https://proglib.io/p/vvedenie-v-obektno-orientirovannoe-programmirovanie-oop-na-python-2020-07-23,🤹,https://realpython.com/python3-object-oriented-programming/,https://github.com/matyushkin/lessons/blob/master/oop/oop.ipynb,https://colab.research.google.com/github/matyushkin/lessons/blob/master/oop/oop.ipynb,перевод,2020-07-23,5536.0,Python,,,
Тест на знание языка Python (15 вопросов),https://proglib.io/tests/test-na-znanie-yazyka-python,🙋,,,,тест,2020-07-13,8415.0,Python,,,
Робот в лабиринте: обрабатываем в Python очереди с приоритетом,https://proglib.io/p/robot-v-labirinte-obrabatyvaem-ocheredi-s-prioritetom-v-python-2020-07-07,🌟,https://realpython.com/python-heapq-module/,https://github.com/matyushkin/lessons/blob/master/heaps/heaps.ipynb,https://colab.research.google.com/github/matyushkin/lessons/blob/master/heaps/heaps.ipynb,перевод,2020-07-07,9062.0,Python,,,
Новые возможности Python 3.9: мнения экспертов,https://proglib.io/p/novye-vozmozhnosti-python-3-9-mneniya-ekspertov-2020-06-12,🗞️,,,,статья,2020-06-12,6704.0,Python,,,
Динамическое выполнение выражений в Python: eval(),https://proglib.io/p/dinamicheskoe-vypolnenie-vyrazheniy-v-python-funkciya-eval-2020-05-14,🌟,https://realpython.com/python-eval-function/,,https://colab.research.google.com/github/matyushkin/lessons/blob/master/eval_func/eval_func.ipynb,перевод,2020-05-14,12432.0,Python,,,
"Всё, что нужно знать о декораторах Python",https://proglib.io/p/vse-chto-nuzhno-znat-o-dekoratorah-python-2020-05-09,🌟,https://realpython.com/primer-on-python-decorators/,,https://colab.research.google.com/github/matyushkin/lessons/blob/master/decorators/decorators.ipynb,перевод,2020-05-09,19762.0,Python,,,
Как хранить объекты Python со сложной структурой,https://proglib.io/p/kak-hranit-obekty-python-so-slozhnoy-strukturoy-moduli-pickle-i-dill-2020-04-30,🌟,https://realpython.com/python-pickle-module/,,,перевод,2020-04-30,10396.0,Python,,,
ТОП-15 книг Python: от новичка до профессионала,https://proglib.io/p/top-15-knig-po-python-ot-novichka-do-professionala-2020-04-07,📕,,,,статья,2020-04-07,27909.0,Python,книги,,
TOP-10 open source проектов на Python в сентябре 2018,https://proglib.io/p/python-opensources,🔗,https://medium.mybridge.co/python-open-source-of-the-month-v-aug-2018-9433979f586d,,,перевод,2018-09-11,18394.0,Python,,,
"Python(x, y)",https://habr.com/ru/post/113065,👨‍🔬️,,,,статья,2011-02-04,48400.0,Python,,,
Тест. Правда или ложь: что умеют нейросети?,https://proglib.io/tests/pravda-ili-lozh-chto-umeyut-neyroseti,🙋,,,,тест,2020-01-26,21718.0,Data Science,,,
TensorFlow.js: машинное обучение на JavaScript с доставкой в браузер,https://proglib.io/p/tensorflow-js,,,,,статья,2018-05-11,14933.0,Data Science,,,
Популяционное обучение нейросетей,https://proglib.io/p/population-deep-learning,🗞️,https://deepmind.com/blog/population-based-training-neural-networks/,,,перевод,2018-04-14,7235.0,Data Science,,,
